id	Objeto	Tipo	Color	Uso	Recuerdo 	Propietario	Origen	Lugar	Anno	Conexion	Extension	 
176	Esmalte transparente	Maquillaje	Blanco	Casi nunca		Cristina	Compra	Barrio	2018	No	Si
177	Pinza uñas	Maquillaje	Negro	Casi nunca		Cristina	Compra	No recuerdo	s/f	No	Si
178	Gafas negras	Accesorios	Negro	Casi nunca	Regalo de amigo secreto	Cristina	Regalo	Compañero	2017	No	Si
179	Protectores	Aseo	Rosa palido	Poco frecuente		Cristina	Compra	Barrio	2019	No	Si
180	Estuche cepillo	Aseo	Naranja	Diario		Cristina	Compra	No recuerdo	s/f	No	Si
181	Cepillo de dientes 	Aseo	Naranja claro	Diario		Cristina	Compra	Barrio	2018	No	Si
182	Desodorante 2	Aseo	Morado eléctrico	Diario		Cristina	Compra	Barrio	2018	No	Si
183	Mascarilla pepino	Maquillaje	Verde claro	Poco frecuente		Cristina	Compra	No recuerdo	s/f	No	Si
184	Spray manzana	Maquillaje	Aguamarina	Casi nunca		Cristina	Compra	No recuerdo	s/f	No	Si
185	Lima uñas 	Aseo	Azul	Casi nunca		Cristina	Compra	No recuerdo	s/f	No	Si
186	Lima uñas grande	Aseo	Gris claro	Casi nunca		Cristina	Compra	No recuerdo	s/f	No	Si
187	Chulo verde	Accesorios	Verde claro	Casi nunca	Lo olvidó Guadalupe	Cristina	Olvidó	No recuerdo	s/f	No	Si
188	Chulo animal print	Accesorios	Café	Casi nunca	Lo olvidó Guadalupe	Cristina	Olvidó	No recuerdo	s/f	No	Si
189	Pinza negra	Accesorios	Negro	Casi nunca		Cristina	Compra	No recuerdo	s/f	No	Si
190	Ganchos pelo	Accesorios	Negro	Casi nunca		Cristina	Compra	No recuerdo	s/f	No	Si
191	Pinza documentos	Cosa	Negro	Casi nunca		Cristina	Compra	No recuerdo	s/f	No	Si
192	Botón estrellas 	Accesorios	Blanco	Casi nunca		Cristina	Compra	Amiga	2018	No	Si
193	Botón tetas	Accesorios	Beige	Casi nunca		Cristina	Compra	Amiga	2018	No	Si
194	Tarot Marcella	Tarot	Ocre	Muy poco frecuente		Cristina	Compra	Exlibris	2014	No	No
195	Tarot ilustrado	Tarot	Blanco	Muy poco frecuente	Regalo de amigo secreto	Cristina	Regalo	Compañero	2017	No	No
196	Tarot Viscoti Sforza	Tarot	Ocre	Poco frecuente		Cristina	Compra	Bogotá	2019	No	No
197	Tarot estrellas del pop	Tarot	Naranja	Muy poco frecuente		Cristina	Compra	Feria del libro	2018	No	No
198	Tarot Rider Waite	Tarot	Morado	Diario		Cristina	Compra	Unicentro	2018	No	No
199	Aretes verdes	Accesorios	Verde claro	Poco frecuente		Cristina	Compra	Laureles	2017	No	Si
200	Aretes rojos	Accesorios	Rojo	Frecuente		Cristina	Compra	Compañera	2019	No	Si
201	Aretes cactus	Accesorios	Ocre	Frecuente		Cristina	Compra	Laureles	2019	No	Si
202	Aretes aros	Accesorios	Ocre	Frecuente		Cristina	Compra	Laureles	2018	No	Si
203	Aretes aros dobles	Accesorios	Ocre	Muy poco frecuente		Cristina	Compra	Laureles	2019	No	Si
204	Aretes hojas	Accesorios	Ocre	Muy poco frecuente		Cristina	Compra	No recuerdo	2018	No	Si
205	Dije pimentón	Accesorios	Rojo	Casi nunca		Cristina	Regalo	Compañera	2018	No	Si
206	Caja aretes	Accesorios	Café	Diario		Cristina	Compra	Compañera	2019	No	Si
207	Medias 	Ropa	Blanco	Diario		Cristina	Compra	Varios	f/v	No	Si
208	Calzones y tangas	Ropa	Blanco	Diario		Cristina	Compra	Varios	f/v	No	Si
209	Brasieres	Ropa	Blanco	Diario		Cristina	Compra	Varios	f/v	No	Si
210	Vestido de baño	Ropa	Naranja claro	Muy poco frecuente		Cristina	Compra	Leonisa	s/f	No	Si
211	Medias leggins 	Ropa	Negro	Poco frecuente		Cristina	Compra	Éxito	2018	No	Si
212	Tenis morados	Zapatos	Purpura	Muy poco frecuente		Cristina	Compra	No recuerdo	2013	No	Si
213	Tenis naranjas	Zapatos	Naranja	Frecuente		Cristina	Compra	Flamingo	2018	No	Si
214	Tenis rojos	Zapatos	Rojo	Poco frecuente		Cristina	Compra	Sobrina	2017	No	Si
215	Tenis beiges	Zapatos	Beige	Frecuente		Cristina	Compra	Flamingo	2018	No	Si
216	Tenis tejidos	Zapatos	Café	Muy poco frecuente		Cristina	Compra	Santander	2017	No	Si
217	Botas altas	Zapatos	Negro	Muy poco frecuente		Cristina	Compra	No recuerdo	2014	No	Si
218	Botas bruja	Zapatos	Negro	Frecuente		Cristina	Compra	Zara	2018	No	Si
219	Botas negras 	Zapatos	Negro	Frecuente		Cristina	Compra	Cosmos	s/f	No	Si
220	Botines 	Zapatos	Negro	Frecuente		Cristina	Compra	Cosmos	s/f	No	Si
221	Chanclas altas	Zapatos	Negro	Muy poco frecuente		Cristina	Compra	Bata	2018	No	Si
222	Botas taches	Zapatos	Negro	Frecuente		Cristina	Compra	Manizales	2018	No	Si
223	C. azul oscura	Ropa	Azul oscuro	Frecuente		Mauricio	Compra	Zara	2017	No	No
224	C. azul compartida	Ropa	Azul claro	Muy poco frecuente	Cuando nos viviamos juntos y amanecía en su casa, usaba esta camisa para ir a trabajar	Mauricio	Compra	Zara	s/f	Si	No
225	C. azul lunares	Ropa	Azul	Frecuente		Mauricio	Compra	Zara	2018	No	No
226	C. azul parches	Ropa	Azul cielo	Frecuente		Mauricio	Compra	Zara	2018	No	No
227	C. azul 	Ropa	Azul cielo	Frecuente		Mauricio	Compra	Zara	2018	No	No
228	C. azul hojas	Ropa	Azul	Muy poco frecuente		Mauricio	Compra	Zara	2017	No	No
229	C. azul tropical 	Ropa	Azul claro	Casi nunca		Mauricio	Compra	Fruta fresca	2015	No	No
230	Buso negro	Ropa	Negro	Frecuente		Mauricio	Compra	Bogotá	2019	No	No
231	Buso verde	Ropa	Verde claro	Casi nunca		Mauricio	Compra	No recuerdo	s/f	No	No
232	Chaqueta cuero	Ropa	Café	Muy poco frecuente		Mauricio	Compra	Bogotá	s/f	No	No
233	Chaqueta verde	Ropa	Verde Militar	Muy poco frecuente		Mauricio	Compra	No recuerdo	s/f	No	No
234	Blaizer negro nuevo	Ropa	Negro	Casi nunca	Lo compró para una fiesta pero se quebró la muñeca días antes, aun no lo estrena	Mauricio	Compra	Zara	2018	No	No
235	C. renos	Ropa	Beige	Frecuente		Mauricio	Compra	Falabella	2017	No	No
236	C. piñas	Ropa	Ocre	Poco frecuente	Regalo de cumpleaños	Mauricio	Regalo	Berska	2017	No	No
237	C. ilustraciones	Ropa	Blanco	Frecuente		Mauricio	Compra	Zara	2018	No	No
238	Camisa verde militar	Ropa	Verde Militar	Frecuente		Mauricio	Compra	Zara	2018	No	No
239	Camisa verde	Ropa	Verde claro	Frecuente		Mauricio	Compra	Zara	2018	No	No
240	Camisa gris	Ropa	Gris claro	Frecuente		Mauricio	Compra	México	2018	No	No
